Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-16,969.7779541015624,1067.9696044921875,958.3377075195312,1021.182861328125,26755450645,0,0
2021-01-17,1021.1131591796876,1047.75,972.2164306640624,1019.4954223632812,24247360635,0,0
2021-01-18,1019.6123046875,1042.8851318359375,983.4841918945312,1041.0009765625,21376311037,0,0
2021-01-19,1041.12939453125,1180.9271240234375,1037.7288818359375,1134.591552734375,38879161883,0,0
2021-01-20,1132.9049072265625,1157.562744140625,1026.2733154296875,1140.9898681640625,38617597610,0,0
2021-01-21,1141.32861328125,1141.32861328125,902.8639526367188,921.9234619140624,37756164501,0,0
2021-01-22,919.718994140625,1045.0435791015625,860.4122924804688,1015.8665161132812,36081462347,0,0
2021-01-23,1014.84423828125,1044.930908203125,986.4005737304688,1011.1221923828124,22386049923,0,0
2021-01-24,1011.3028564453124,1146.537353515625,1006.4266357421876,1143.7401123046875,29931469516,0,0
2021-01-25,1142.9432373046875,1206.048095703125,1074.8353271484375,1090.6912841796875,35877594249,0,0
2021-01-26,1090.136962890625,1133.0079345703125,1030.8836669921875,1115.637451171875,34177095683,0,0
2021-01-27,1116.685791015625,1124.6102294921875,1007.4371337890624,1035.4395751953125,32549440066,0,0
2021-01-28,1033.86376953125,1092.6448974609375,1013.9783935546876,1070.9365234375,32827227182,0,0
2021-01-29,1129.499267578125,1175.661376953125,1068.0765380859375,1139.031494140625,44169764087,0,0
2021-01-30,1138.7918701171875,1155.4273681640625,1094.5657958984375,1133.77197265625,25224781196,0,0
2021-01-31,1134.3553466796875,1136.079345703125,1061.58740234375,1084.7347412109375,20786584717,0,0
2021-02-01,1084.626708984375,1138.4263916015625,1050.7232666015625,1134.4554443359375,24205422458,0,0
2021-02-02,1134.8404541015625,1281.180908203125,1127.9044189453125,1258.8048095703125,37748632993,0,0
2021-02-03,1258.452392578125,1379.3355712890625,1253.448974609375,1379.3355712890625,34775571158,0,0
2021-02-04,1379.552001953125,1403.3509521484375,1304.5755615234375,1332.7623291015625,37102998556,0,0
2021-02-05,1332.7879638671875,1460.4669189453125,1332.7879638671875,1426.4114990234375,33288557271,0,0
2021-02-06,1425.7032470703125,1442.6983642578125,1368.6297607421875,1392.513916015625,33092586606,0,0
2021-02-07,1392.313720703125,1402.6307373046875,1246.3641357421875,1339.759033203125,33106998753,0,0
2021-02-08,1339.2730712890625,1469.7816162109375,1305.9232177734375,1449.1854248046875,39836273780,0,0
2021-02-09,1449.442138671875,1500.759521484375,1419.04638671875,1459.214111328125,36463724032,0,0
2021-02-10,1459.218017578125,1506.3160400390625,1390.4462890625,1439.2938232421875,34587811712,0,0
2021-02-11,1438.857177734375,1487.3831787109375,1410.3712158203125,1470.4881591796875,29694607791,0,0
2021-02-12,1470.2335205078125,1535.75341796875,1438.82958984375,1521.047119140625,31274384576,0,0
2021-02-13,1521.421875,1544.1646728515625,1460.8416748046875,1496.7294921875,29173312306,0,0
2021-02-14,1496.946044921875,1524.817626953125,1476.7669677734375,1489.2791748046875,25938747431,0,0
2021-02-15,1488.943115234375,1511.751220703125,1388.21435546875,1466.9962158203125,32109240182,0,0
2021-02-16,1466.2994384765625,1501.9912109375,1428.0718994140625,1473.3934326171875,28349438535,0,0
2021-02-17,1473.627197265625,1539.4486083984375,1436.233154296875,1534.5567626953125,29849536429,0,0
2021-02-18,1534.3475341796875,1612.2445068359375,1534.3475341796875,1602.2802734375,23367773035,0,0
2021-02-19,1603.44677734375,1626.2550048828125,1569.305419921875,1617.5318603515625,21677078059,0,0
2021-02-20,1617.31591796875,1680.34765625,1510.5582275390625,1584.0032958984375,28631283770,0,0
2021-02-21,1583.29296875,1629.1629638671875,1559.935546875,1596.388916015625,19486018857,0,0
2021-02-22,1596.353271484375,1597.0921630859375,1302.0679931640625,1464.956787109375,34864503500,0,0
2021-02-23,1464.476806640625,1464.476806640625,1134.7294921875,1292.2401123046875,42819329942,0,0
2021-02-24,1293.2874755859375,1406.871826171875,1242.9566650390625,1336.607666015625,25744010941,0,0
2021-02-25,1335.6365966796875,1366.1865234375,1204.911376953125,1213.7811279296875,20136428157,0,0
2021-02-26,1216.2071533203125,1289.9217529296875,1160.545166015625,1197.83349609375,26040260332,0,0
2021-02-27,1198.5755615234375,1263.1868896484375,1187.68603515625,1209.37744140625,17181845666,0,0
2021-02-28,1209.2841796875,1216.3509521484375,1077.25390625,1171.184326171875,22858003893,0,0
2021-03-01,1172.095947265625,1301.153564453125,1171.4697265625,1298.652587890625,19946414926,0,0
2021-03-02,1298.117919921875,1326.037109375,1208.9677734375,1235.10546875,18637908745,0,0
2021-03-03,1234.1475830078125,1367.7379150390625,1226.239990234375,1308.147216796875,18822788938,0,0
2021-03-04,1307.126708984375,1345.6802978515625,1262.3955078125,1288.4498291015625,19140742204,0,0
2021-03-05,1288.138427734375,1298.98095703125,1216.306884765625,1287.248779296875,17686754673,0,0
2021-03-06,1286.4913330078125,1400.7159423828125,1274.86474609375,1388.6607666015625,19088686124,0,0
2021-03-07,1389.2069091796875,1451.6412353515625,1373.452392578125,1444.8369140625,19964249882,0,0
2021-03-08,1445.7386474609375,1548.4287109375,1404.9881591796875,1548.174560546875,23315500066,0,0
2021-03-09,1548.529052734375,1570.1827392578125,1517.4151611328125,1570.1827392578125,19720278687,0,0
2021-03-10,1570.5528564453125,1576.0128173828125,1487.0069580078125,1508.798828125,21094541175,0,0
2021-03-11,1507.8492431640625,1538.37548828125,1452.2301025390625,1524.24462890625,20042705462,0,0
2021-03-12,1524.5382080078125,1535.0255126953125,1448.739013671875,1482.5072021484375,18769381829,0,0
2021-03-13,1482.560791015625,1621.0206298828125,1450.3509521484375,1610.1783447265625,20927114112,0,0
2021-03-14,1609.490966796875,1615.27685546875,1543.5166015625,1551.9031982421875,16187590941,0,0
2021-03-15,1551.50341796875,1580.581298828125,1466.953857421875,1502.286865234375,22005399905,0,0
2021-03-16,1502.8834228515625,1523.7012939453125,1442.1837158203125,1518.205078125,20020546958,0,0
